id,city,state,state_2,zip,created_at,updated_at,lat,long,tz_offset,dst
32321,Kihei,Hawaii,HI,96753,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,20.771418,-156.45769,-10:00,f
32325,Kualapuu,Hawaii,HI,96757,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.156174,-157.03622,-10:00,f
32332,Lihue,Hawaii,HI,96766,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.980810,-159.37746,-10:00,f
32335,Maunaloa,Hawaii,HI,96770,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.150580,-157.19770,-10:00,f
32342,Pahoa,Hawaii,HI,96778,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,19.494625,-154.92660,-10:00,f
32346,Pearl City,Hawaii,HI,96782,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.408333,-157.96690,-10:00,f
32349,Wahiawa,Hawaii,HI,96786,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.501722,-158.03543,-10:00,f
32353,Waianae,Hawaii,HI,96792,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.434246,-158.17092,-10:00,f
32356,Waimea,Hawaii,HI,96796,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.997746,-159.71870,-10:00,f
32360,Honolulu,Hawaii,HI,96815,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.278200,-157.82199,-10:00,f
32363,Honolulu,Hawaii,HI,96818,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.364250,-157.96316,-10:00,f
32367,Honolulu,Hawaii,HI,96825,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.294600,-157.69721,-10:00,f
32285,Eleele,Hawaii,HI,96705,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.910767,-159.58222,-10:00,f
32299,Holualoa,Hawaii,HI,96725,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,19.410727,-155.74780,-10:00,f
32317,Keaau,Hawaii,HI,96749,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,19.625495,-155.01121,-10:00,f
32318,Kealakekua,Hawaii,HI,96750,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,19.526845,-155.92150,-10:00,f
32328,Lahaina,Hawaii,HI,96761,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,20.913335,-156.65765,-10:00,f
32336,Mountain View,Hawaii,HI,96771,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,19.516132,-155.11305,-10:00,f
32338,Ninole,Hawaii,HI,96773,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,19.942301,-155.18112,-10:00,f
